,region,category,parameter,mode,powertrain,year,unit,value
0,Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0
1,Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0
2,Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0
3,Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0
4,Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0
5,Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0
6,Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0
7,Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0
8,Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0
9,Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0
10,Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0
11,Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0
12,Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0
13,Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0
14,Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800.0
15,Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900.0
16,Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300.0
17,Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200.0
18,Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700.0
19,Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400.0
20,Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000.0
21,Australia,Historical,EV sales,Cars,FCEV,2021,Vehicles,44.0
22,Australia,Historical,EV sales,Cars,FCEV,2022,Vehicles,15.0
23,Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000.0
24,Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900.0
25,Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,11000.0
26,Australia,Historical,EV sales,Cars,BEV,2023,Vehicles,87000.0
27,Australia,Historical,EV sales,Cars,FCEV,2023,Vehicles,6.0
28,Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650.0
29,Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700.0
30,Austria,Historical,EV sales,Cars,FCEV,2014,Vehicles,6.0
31,Austria,Historical,EV sales,Cars,FCEV,2015,Vehicles,4.0
32,Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,1100.0
33,Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700.0
34,Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800.0
35,Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200.0
36,Austria,Historical,EV sales,Cars,FCEV,2017,Vehicles,2.0
37,Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700.0
38,Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400.0
39,Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800.0
40,Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300.0
41,Austria,Historical,EV sales,Cars,FCEV,2018,Vehicles,7.0
42,Austria,Historical,EV sales,Cars,PHEV,2019,Vehicles,2200.0
43,Austria,Historical,EV sales,Cars,FCEV,2019,Vehicles,19.0
44,Austria,Historical,EV sales,Cars,BEV,2019,Vehicles,9300.0
45,Austria,Historical,EV sales,Cars,BEV,2020,Vehicles,16000.0
